,trade_id,fund_id,dealDate,dealTime,symbol,side,price,qty,s_info_windcode,direction,trade_dt,trade_time
3292,,52,20250821,130155000,002517,2,20.970,100,002517.SH,S,2025-08-21,13:01:55
3293,0000000040271218,44,20250821,130151679,603948,1,22.000,100,603948.SZ,B,2025-08-21,13:01:51.679000
3294,0105000051045547,61,20250821,130151400,300629,2,23.680,100,300629.SH,S,2025-08-21,13:01:51.400000
3295,0101000051260683,59,20250821,130151000,002370,1,6.820,1100,002370.SH,B,2025-08-21,13:01:51
3296,0000000040268564,44,20250821,130150743,688376,2,49.230,200,688376.SZ,S,2025-08-21,13:01:50.743000
3297,0101000051255650,44,20250821,130150693,300896,2,191.950,100,300896.SH,S,2025-08-21,13:01:50.693000
3298,0103000052702142,60,20250821,130150630,000425,1,8.820,200,000425.SH,B,2025-08-21,13:01:50.630000
3299,0105000051045545,59,20250821,130151000,300629,2,23.680,300,300629.SH,S,2025-08-21,13:01:51
3300,0000000040265495,44,20250821,130149757,688331,2,78.630,100,688331.SZ,S,2025-08-21,13:01:49.757000
3301,0103000052689322,60,20250821,130147680,002468,1,19.050,600,002468.SH,B,2025-08-21,13:01:47.680000
3302,0000000040244737,60,20250821,130144007,601101,1,7.640,400,601101.SZ,B,2025-08-21,13:01:44.007000
3303,0000000040235120,44,20250821,130140635,688553,1,24.400,200,688553.SZ,B,2025-08-21,13:01:40.635000
3304,0101000051210298,60,20250821,130139950,002384,1,52.450,100,002384.SH,B,2025-08-21,13:01:39.950000
3305,0105000050979320,58,20250821,130135637,300629,2,23.700,500,300629.SH,S,2025-08-21,13:01:35.637000
3306,0000000040217759,60,20250821,130134881,603486,2,91.050,400,603486.SZ,S,2025-08-21,13:01:34.881000
3307,0105000050976134,60,20250821,130134810,301035,2,69.100,100,301035.SH,S,2025-08-21,13:01:34.810000
3308,0102000049673814,44,20250821,130128572,300918,1,20.530,200,300918.SH,B,2025-08-21,13:01:28.572000
3309,0000000040185071,60,20250821,130124883,601728,1,7.520,500,601728.SZ,B,2025-08-21,13:01:24.883000
3310,0000000040185070,60,20250821,130124883,601728,1,7.520,200,601728.SZ,B,2025-08-21,13:01:24.883000
3311,0000000040185073,60,20250821,130124891,601988,1,5.710,1300,601988.SZ,B,2025-08-21,13:01:24.891000
3312,0000000040185069,60,20250821,130124883,601728,1,7.520,400,601728.SZ,B,2025-08-21,13:01:24.883000
3313,0000000040179116,44,20250821,130123683,688499,2,64.080,200,688499.SZ,S,2025-08-21,13:01:23.683000
3314,,52,20250821,130121000,002370,1,6.820,300,002370.SH,B,2025-08-21,13:01:21
3315,0000000040159801,44,20250821,130119572,600733,1,9.250,2000,600733.SZ,B,2025-08-21,13:01:19.572000
3316,0000000040142448,60,20250821,130115840,601825,1,8.860,300,601825.SZ,B,2025-08-21,13:01:15.840000
3317,1021779282073768800,57,20250821,130116138,605296,2,33.450,100,605296.SZ,S,2025-08-21,13:01:16.138000
3318,1021779282073765900,57,20250821,130115267,605296,2,33.430,200,605296.SZ,S,2025-08-21,13:01:15.267000
3319,0101000051097847,58,20250821,130113569,002370,1,6.820,1400,002370.SH,B,2025-08-21,13:01:13.569000
