,代码,昨收
507,688395,25.07
508,688393,29.63
509,688392,83.82
510,688391,31.39
511,688390,49.6
512,688389,14.29
513,688388,21.43
514,688387,6.06
515,688386,63.5
516,688385,50.66
517,688383,74.1
518,688382,41.84
519,688381,23.66
520,688380,28.71
521,688379,51.56
522,688378,19.2
523,688377,29.68
524,688376,49.91
525,688375,63.23
526,688373,7.96
527,688372,63.47
528,688371,18.5
529,688370,24.49
530,688369,30.44
531,688368,91.19
532,688367,19.95
533,688366,54.63
534,688365,16.05
535,688363,52.5
536,688362,35.14
537,688361,85.1
538,688360,22.46
539,688359,66.8
540,688358,33.85
541,688357,33.89
542,688356,99.12
543,688355,19.68
544,688353,33.42
545,688352,11.93
546,688351,22.83
547,688350,22.7
548,688349,27.35
549,688348,46.86
550,688347,70.5
551,688345,28.79
552,688343,63.55
553,688339,22.92
554,688338,27.15
555,688337,38.97
556,688336,51.44
557,688335,13.82
558,688334,18.63
559,688333,73.07
560,688332,101.03
561,688331,73.78
562,688330,26.88
563,688329,21.52
564,688328,26.33
565,688327,15.95
566,688326,99.52
567,688325,60.88
568,688323,16.4
569,688322,79.24
570,688321,40.94
571,688320,46.84
572,688319,24.3
573,688318,124.56
574,688317,25.2
575,688316,75.95
576,688315,16.37
577,688314,39.24
578,688313,56.43
579,688312,27.95
580,688311,40.26
581,688310,18.24
582,688309,23.15
583,688308,20.39
584,688307,36.12
585,688306,10.4
586,688305,59.65
587,688303,24.58
588,688302,66.58
589,688301,91.98
590,688300,55.38
591,688299,17.88
592,688298,28.17
593,688297,53.99
594,688296,14.39
595,688295,21.88
596,688293,55.81
597,688292,21.3
598,688291,36.11
599,688290,56.0
600,688289,21.64
601,688288,30.73
602,688287,5.05
603,688286,71.82
604,688285,9.04
605,688283,29.04
606,688282,49.31
607,688281,70.07
608,688280,7.96
609,688279,204.35
610,688278,85.5
611,688277,18.41
612,688276,23.5
613,688275,45.72
614,688273,51.64
615,688272,28.07
616,688271,127.92
617,688270,65.5
618,688269,39.98
619,688268,58.63
620,688267,30.15
621,688266,112.47
622,688265,60.6
623,688262,28.27
624,688261,59.0
625,688260,27.1
626,688259,43.69
627,688258,67.74
628,688257,16.39
629,688256,949.0
630,688255,36.14
631,688253,32.81
632,688252,25.69
633,688251,23.12
634,688249,22.08
635,688248,33.65
636,688247,11.89
637,688246,33.99
638,688244,26.21
639,688239,35.27
640,688238,7.81
641,688237,32.99
642,688236,23.33
643,688235,234.06
644,688234,62.07
645,688233,33.73
646,688232,28.99
647,688231,20.41
648,688230,69.8
649,688229,64.4
650,688228,65.8
651,688227,31.37
652,688226,43.75
653,688225,20.08
654,688223,5.22
655,688222,22.29
656,688221,18.75
657,688220,91.39
658,688219,13.14
659,688218,23.3
660,688217,29.61
661,688216,26.38
662,688215,66.5
663,688213,94.83
664,688212,49.14
665,688211,34.72
666,688210,36.95
667,688209,19.29
668,688208,35.94
669,688207,15.7
670,688206,31.88
671,688205,72.01
672,688203,13.11
673,688202,64.2
674,688201,11.9
675,688200,141.99
676,688199,25.52
677,688198,119.24
678,688197,52.42
679,688196,44.81
680,688195,48.5
681,688193,49.39
682,688192,82.37
683,688191,24.88
684,688190,100.36
685,688189,13.43
686,688188,134.2
687,688187,44.7
688,688186,25.52
689,688185,83.93
690,688184,10.49
691,688183,53.52
692,688182,26.6
693,688181,34.85
694,688180,42.72
695,688179,15.25
696,688178,24.68
697,688177,32.35
698,688176,11.86
699,688175,21.33
700,688173,14.58
701,688172,19.36
702,688171,43.66
703,688170,36.5
704,688169,175.86
705,688168,72.31
706,688167,96.86
707,688166,113.59
708,688165,24.78
709,688163,25.19
710,688162,30.8
711,688161,30.83
712,688160,93.0
713,688159,71.86
714,688158,25.97
715,688157,39.96
716,688156,20.55
717,688155,54.99
718,688153,33.16
719,688152,46.05
720,688151,25.7
721,688150,27.41
722,688148,5.61
723,688147,34.12
724,688146,40.63
725,688143,54.01
726,688141,29.59
727,688139,34.25
728,688138,30.94
729,688137,45.26
730,688136,44.38
731,688135,23.21
732,688133,27.47
733,688132,20.63
734,688131,54.9
735,688130,24.37
736,688129,25.54
737,688128,27.43
738,688127,29.8
739,688126,18.53
740,688125,41.7
741,688123,74.54
742,688122,55.11
743,688121,13.99
744,688120,106.3
745,688119,4.24
746,688118,30.92
747,688117,40.33
748,688116,42.33
749,688115,70.13
750,688114,67.81
751,688113,39.74
752,688112,39.65
753,688111,288.31
754,688110,93.25
755,688109,39.99
756,688108,30.4
757,688107,28.57
758,688106,18.61
759,688105,25.4
760,688103,65.3
761,688102,15.7
762,688101,14.59
763,688100,34.13
764,688099,76.44
765,688098,8.91
766,688097,32.3
767,688096,9.44
768,688095,75.2
769,688093,36.02
770,688092,24.93
771,688091,75.85
772,688090,34.86
773,688089,28.01
774,688088,48.19
775,688087,28.03
776,688086,0.64
777,688085,20.25
778,688084,95.2
779,688083,67.92
780,688082,115.58
781,688081,23.77
782,688080,48.36
783,688079,11.85
784,688078,34.65
785,688077,31.45
786,688076,44.74
787,688075,42.06
788,688073,59.95
789,688072,163.95
790,688071,47.96
791,688070,52.33
792,688069,24.97
793,688068,228.3
794,688067,26.41
795,688066,23.06
796,688065,47.66
797,688063,44.03
798,688062,35.59
799,688061,33.56
800,688060,40.51
801,688059,68.4
802,688058,30.68
803,688057,13.54
804,688056,38.03
805,688055,3.98
806,688053,34.05
807,688052,173.71
808,688051,34.78
809,688050,76.26
810,688049,51.82
811,688048,71.57
812,688047,130.32
813,688046,17.6
814,688045,38.17
815,688041,152.49
816,688039,49.04
817,688038,17.01
818,688037,115.2
819,688036,80.71
820,688035,45.62
821,688033,6.68
822,688032,109.4
823,688031,50.51
824,688030,19.97
825,688029,94.95
826,688028,24.6
827,688027,286.28
828,688026,19.77
829,688025,121.1
830,688023,56.11
831,688022,16.41
832,688021,19.0
833,688020,53.6
834,688019,146.68
835,688018,161.26
836,688017,137.64
837,688016,115.7
838,688015,21.63
839,688013,38.97
840,688012,192.04
841,688011,43.58
842,688010,33.71
843,688009,5.32
844,688008,88.94
845,688007,16.11
846,688006,20.8
847,688005,22.2
848,688004,24.65
849,688003,51.23
850,688002,67.57
851,688001,27.8
852,605599,15.13
853,605598,30.31
854,605589,31.98
855,605588,57.34
856,605580,18.5
857,605577,13.32
858,605567,10.84
859,605566,23.95
860,605555,17.01
861,605507,23.16
862,605500,10.03
863,605499,290.89
864,605488,32.01
865,605399,13.21
866,605398,31.55
867,605389,43.57
868,605388,7.5
869,605378,26.3
870,605377,9.16
871,605376,40.15
872,605369,20.23
873,605368,10.06
874,605366,6.3
875,605365,15.24
876,605358,24.75
877,605339,17.83
878,605338,19.9
879,605337,12.65
880,605336,15.85
881,605333,33.99
882,605319,35.05
883,605318,29.4
884,605305,38.14
885,605303,12.7
886,605300,13.69
887,605299,9.89
888,605298,22.97
889,605296,31.75
890,605289,40.2
891,605288,56.3
892,605287,16.05
893,605286,42.02
894,605277,24.79
895,605268,9.76
896,605266,21.53
897,605259,27.31
898,605258,31.08
899,605255,26.64
900,605228,17.66
901,605222,15.71
902,605218,22.73
903,605208,14.56
904,605199,9.03
905,605198,47.89
906,605196,20.39
907,605189,16.05
908,605188,13.17
909,605186,23.11
910,605183,20.85
911,605180,15.3
912,605179,19.98
913,605178,24.52
914,605177,20.75
915,605169,17.79
916,605168,32.35
917,605167,10.81
918,605166,11.93
919,605162,8.75
920,605158,9.03
921,605155,13.47
922,605151,19.31
923,605138,7.43
924,605136,9.72
925,605133,31.35
926,605128,37.71
927,605123,71.0
928,605122,13.92
929,605118,31.57
930,605117,56.05
931,605116,23.7
932,605111,33.22
933,605108,19.48
934,605100,20.16
935,605099,31.75
936,605098,37.09
937,605090,30.05
938,605089,25.65
939,605088,39.59
940,605086,27.53
941,605081,13.0
942,605080,26.56
943,605077,17.28
944,605069,11.17
945,605068,20.4
946,605066,7.81
947,605060,25.95
948,605058,29.4
949,605056,14.71
