代码,昨收
601019,9.15
001322,9.1
600865,9.11
600816,3.01
002584,9.05
688021,19.67
600060,21.35
002821,99.82
301510,32.52
600900,27.69
600508,12.3
300252,12.26
000001,12.3
001210,15.5
000850,4.6
603986,117.95
301559,17.14
688301,93.5
300761,20.36
603605,82.58
600365,3.17
600015,8.0
688343,63.87
603369,39.89
601155,15.96
600132,55.25
002382,6.37
003000,12.79
000609,3.19
003006,27.19
300500,15.98
600271,9.48
688105,25.58
300351,17.38
600012,15.81
603288,38.49
601869,54.9
002092,4.84
603588,6.42
300055,6.48
688332,99.5
000620,1.65
301192,27.72
603198,42.51
688215,62.25
301596,89.05
002323,1.68
000975,18.44
603737,40.13
600183,40.08
002948,5.01
000061,6.67
300685,23.78
600729,30.54
300576,37.48
603158,8.45
300041,10.15
300956,17.12
600395,5.15
603759,8.66
300940,27.6
600269,5.14
601187,6.93
600938,25.85
600540,5.14
600123,6.87
601881,17.4
600280,3.48
300991,33.23
688378,19.4
000415,3.49
600036,44.1
601919,15.67
000951,17.92
600307,1.77
300143,10.68
600284,7.13
300763,61.03
600050,5.36
002847,70.9
600285,23.22
000089,7.21
002306,1.82
301155,73.16
000563,3.63
002563,5.53
002893,11.09
600419,11.21
301251,55.69
301191,91.32
603612,24.09
601018,3.68
600681,3.73
301505,25.69
301180,16.57
000608,1.85
001286,9.29
601668,5.66
600149,5.69
000557,5.63
601528,5.63
600109,9.43
601015,3.74
300465,15.49
601607,19.06
002302,7.76
600018,5.75
000911,7.68
688265,49.85
300517,13.49
688026,21.22
002269,1.91
600858,5.79
301291,39.33
600383,3.94
600305,7.91
000882,1.96
600901,5.85
838971,38.99
000028,25.73
002419,5.91
300119,21.83
603577,9.93
600758,4.04
600000,13.98
300190,3.97
603173,44.18
600968,4.03
003012,6.04
600871,2.03
002027,8.19
603817,6.07
600251,8.18
603368,18.31
601000,4.05
871970,10.2
603378,6.13
000670,8.16
600941,108.98
300326,6.17
301376,18.6
002819,29.27
000905,8.39
600422,14.64
002222,39.8
300160,6.21
002991,57.74
600618,10.33
603788,16.75
600548,10.37
002233,8.49
603156,21.42
000637,4.29
301169,46.66
601888,65.64
600897,14.8
001289,16.87
600886,14.92
688981,86.96
001356,14.96
002303,4.22
601169,6.45
600088,16.85
600578,4.26
301330,29.74
301335,32.09
600873,10.97
000728,8.62
300238,17.52
600098,6.54
603299,10.82
603617,8.65
605286,39.49
601377,6.59
000708,12.94
603900,10.89
002595,56.53
601139,6.59
600830,11.1
601811,15.53
601375,4.47
300226,26.58
300197,2.22
002945,15.42
603985,17.61
600779,42.08
301371,26.87
002887,8.94
001395,45.91
002039,15.86
000860,15.94
600563,109.4
835368,27.52
601121,6.83
603508,34.19
002971,27.32
301533,43.74
000690,4.7
603043,16.16
603161,13.93
000554,6.96
600127,7.01
600429,4.69
600919,11.51
301058,11.59
600336,7.17
001301,54.49
002843,23.98
600739,11.89
603408,11.91
301087,38.05
301234,42.56
002236,16.54
300007,47.15
688181,33.1
001331,11.94
301345,165.0
000520,4.81
300863,36.06
002803,16.76
002982,16.61
600011,7.4
600030,29.38
000521,7.32
600602,21.8
600177,7.39
600325,4.82
600323,26.55
300157,4.96
688123,73.38
600373,10.05
834058,35.0
002055,7.42
000783,7.52
300603,12.49
000895,24.93
003007,37.09
603861,9.93
300866,138.48
600827,9.94
600511,29.97
600169,2.48
600155,7.47
601866,2.53
000955,5.13
831726,20.27
601059,17.75
600741,18.17
600131,18.04
601368,5.08
600007,20.43
600064,7.67
603839,7.7
603100,20.42
002938,51.63
601238,7.63
603766,13.04
603519,13.06
600545,2.63
600051,7.91
832145,20.8
603189,21.18
002705,15.68
603755,27.19
000166,5.39
603630,24.39
002479,5.4
000078,2.72
300596,32.5
600027,5.41
002897,40.7
600998,5.37
300260,34.79
603708,10.88
000869,21.74
600535,16.27
000828,11.23
300032,5.5
301081,11.06
300348,16.83
000623,19.22
300177,11.25
000020,14.06
603042,16.45
600750,22.06
301500,16.49
300180,8.42
603888,19.36
000686,8.31
605111,33.35
002062,5.79
601211,20.05
600793,25.8
920128,34.55
600279,5.66
603307,40.43
600597,8.6
688075,42.93
601066,25.92
600688,2.88
600983,11.46
002789,8.62
601021,52.7
601333,2.98
000042,8.8
300191,20.43
603237,17.68
000930,5.94
002970,46.44
600917,5.8
002033,8.9
301297,41.23
002409,55.28
600601,5.92
601966,15.27
600390,6.04
600187,3.03
002758,9.15
688116,43.05
688613,20.95
600780,6.04
601860,2.99
002939,9.0
002500,6.26
002728,9.4
600004,9.42
000938,24.8
600909,6.17
688326,99.68
300223,68.52
002432,40.12
601872,6.17
603883,18.53
002589,3.11
600582,6.31
002142,28.28
002423,12.4
002746,6.45
000735,6.39
300193,9.76
600660,55.46
601997,6.38
603279,15.99
603558,9.77
002353,45.82
600329,42.35
603391,40.05
688372,57.59
002351,13.49
603005,29.99
603230,13.44
603177,9.99
601916,3.37
600300,3.44
001222,20.79
600295,10.35
600600,67.97
600026,10.17
002461,10.43
920799,58.36
600665,3.44
688507,106.19
600448,3.46
600612,47.68
832522,59.33
600261,3.45
600988,24.52
002958,3.5
002109,3.58
000543,7.11
300008,7.2
603822,60.14
600999,18.14
600859,14.05
301560,36.33
300110,3.59
002286,10.67
600639,10.54
002581,7.21
603518,10.81
870508,21.59
600339,3.55
600708,3.57
601788,18.24
301097,47.38
301398,40.04
002123,14.82
300214,7.38
603021,3.75
601456,11.24
603833,52.73
002081,3.67
601995,36.4
601728,7.38
300409,18.54
000957,11.11
688230,73.05
600928,3.87
603308,26.8
605080,26.84
002848,7.61
605599,15.5
002304,69.68
002154,3.86
600403,3.88
603809,15.28
300811,57.02
000963,42.55
000700,7.94
833266,11.91
601099,4.05
001339,53.0
688338,28.3
688549,8.09
300054,28.41
600730,8.16
603871,11.81
600740,4.08
300506,4.04
600603,8.47
601827,8.48
601901,8.26
601990,8.39
603171,49.21
603885,12.57
002636,12.34
603008,16.35
002568,24.64
300611,25.32
301267,20.91
002259,4.2
601727,8.36
000429,12.39
836221,21.11
430139,25.2
002980,24.7
