OBJECT_ID,S_INFO_WINDCODE,TRADE_DT,CRNCY_CODE,S_DQ_PRECLOSE,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_VOLUME,S_DQ_AMOUNT,S_DQ_ADJPRECLOSE,S_DQ_ADJOPEN,S_DQ_ADJHIGH,S_DQ_ADJLOW,S_DQ_ADJCLOSE,S_DQ_ADJFACTOR,S_DQ_AVGPRICE,S_DQ_TRADESTATUS,S_DQ_TRADESTATUSCODE,S_DQ_LIMIT,S_DQ_STOPPING,S_DQ_ADJCLOSE_BACKWARD,OPDATE,OPMODE,MOPDATE
{00FE6CCD-B887-421C-9911-5B271AD1269B},002232.SZ,20251024,CNY,22.1,22.15,22.15,21.61,21.78,-0.32,-1.448,232867.96,506144.501,69.9431,70.1013,70.1013,68.3923,68.9303,3.164845,21.7353,交易,-1.0,24.31,19.89,21.78,2025-10-24 15:10:31,0,2025-10-24 15:04:53
{010B8C82-819B-4C01-8439-7DC50AA87157},605499.SH,20251024,CNY,301.0,301.0,306.5,298.33,300.73,-0.27,-0.0897,23013.23,693981.85,418.8954,418.8954,426.5496,415.1796,418.5196,1.391679,301.5578,交易,-1.0,331.1,270.9,300.73,2025-10-24 15:10:31,0,2025-10-24 15:04:10
{0135BAF8-0E5D-4DB7-BC55-D34C695803AD},002737.SZ,20251024,CNY,15.6,15.6,15.62,15.53,15.56,-0.04,-0.2564,28292.52,44053.413,89.3684,89.3684,89.483,88.9674,89.1392,5.728743,15.5707,交易,-1.0,17.16,14.04,15.56,2025-10-24 15:10:31,0,2025-10-24 15:05:39
{014281E7-4A28-4048-A89F-86F34B66EE27},002010.SZ,20251024,CNY,6.41,6.4,6.58,6.31,6.34,-0.07,-1.092,469968.17,301180.027,59.6507,59.5576,61.2327,58.7201,58.9993,9.305877,6.4085,交易,-1.0,7.05,5.77,6.34,2025-10-24 15:10:31,0,2025-10-24 15:04:53
{014B19B3-72EE-423C-89B4-516CBC18C5FF},300074.SZ,20251024,CNY,4.81,4.81,4.88,4.79,4.84,0.03,0.6237,147572.0,71335.33,64.6533,64.6533,65.5942,64.3844,65.0565,13.441428,4.8339,交易,-1.0,5.77,3.85,4.84,2025-10-24 15:10:31,0,2025-10-24 15:05:37
{0151A928-0872-4587-A43A-32E3B9C1F0A2},002623.SZ,20251024,CNY,20.16,20.19,20.3,19.85,19.98,-0.18,-0.8929,26571.0,53179.482,22.0198,22.0526,22.1727,21.6812,21.8232,1.092252,20.0141,交易,-1.0,22.18,18.14,19.98,2025-10-24 15:10:31,0,2025-10-24 15:05:39
{015A4479-60F8-4906-9AED-FBD8C0300CDD},688119.SH,20251024,CNY,4.55,4.55,4.64,4.49,4.51,-0.04,-0.8791,137171.11,62184.59,4.6717,4.6717,4.7641,4.6101,4.6306,1.026746,4.5334,交易,-1.0,5.46,3.64,4.51,2025-10-24 15:10:31,0,2025-10-24 15:04:10
{016B49AA-4172-4C48-A4A9-335F09E6BC7E},603699.SH,20251024,CNY,44.8,45.3,45.3,43.8,44.5,-0.3,-0.6696,49111.94,217812.655,63.5252,64.2342,64.2342,62.1073,63.0998,1.417974,44.3502,交易,-1.0,49.28,40.32,44.5,2025-10-24 15:10:31,0,2025-10-24 15:04:10
{01769427-1FBA-4B25-925D-45904DD97E56},300173.SZ,20251024,CNY,5.67,5.69,5.73,5.65,5.7,0.03,0.5291,116790.0,66416.81,30.2048,30.3113,30.5244,30.0982,30.3646,5.327122,5.6869,交易,-1.0,6.8,4.54,5.7,2025-10-24 15:10:31,0,2025-10-24 15:05:37
{017EAE1E-DBC5-4194-B4C4-F4C5EE5986B0},688107.SH,20251024,CNY,27.34,27.57,28.6,27.44,28.53,1.19,4.3526,62430.75,175929.373,27.34,27.57,28.6,27.44,28.53,1.0,28.1799,交易,-1.0,32.81,21.87,28.53,2025-10-24 15:10:31,0,2025-10-24 15:04:10
{017F2048-6D84-4CE3-9936-2F0A4F225FD3},688695.SH,20251024,CNY,30.82,30.74,31.37,30.74,30.9,0.08,0.2596,16637.07,51666.091,31.1815,31.1005,31.7379,31.1005,31.2624,1.011728,31.0548,交易,-1.0,36.98,24.66,30.9,2025-10-24 15:10:31,0,2025-10-24 15:04:08
